server,source_batch,method,run_key,rows,latest_epoch,latest_map50,latest_map5095,best_map5095,best_epoch,late20_map5095,latest_delta_vs_detonly,late20_delta_vs_detonly,latest_delta_vs_plain,late20_delta_vs_plain,status,mainline_evidence_allowed,rank_d_neg_cap,alpha_s_rec,alpha_kd,lambda_reach,student_branch_mode,reach_input_mode,validation_purpose,note
ladd4090-zw1,current_evidence_20260625_1115,detonly_control_zw1cache,detonly_zw1,222,222,0.66003,0.41380,0.41380,222,0.40835,0.00000,0.00000,-0.01084,-0.00241,LOW_PRIORITY,yes,,0.0,0.0,0.0,,,same-machine same-pipeline YOLO-init detector-only control; all mainline candidates should compare against this control on the same server.,running/available 4090 same-pipeline control
ladd4090-zw1,current_evidence_20260625_1115,dynamic_plain_anchor_4090_yoloinit,plain_anchor,14,14,0.32006,0.13877,0.14188,13,0.08504,0.01084,0.00241,0.00000,0.00000,pre100,yes,,0.0466666666666666,0.4666666666666667,1.0,,,dynamic/plain anchor for the current LADD-like YOLO-init line; baseline method for mechanism ablations.,running plain anchor but too early for strong conclusion
ladd4090-zw1,current_evidence_20260625_1115,dynamic_resume_fixed,resume_dynamic,259,586,0.81664,0.53483,0.53483,586,0.53234,0.11257,0.11608,0.33730,0.38819,PROMISING_EARLY,no,,0.1,1.0,1.0,,,resume/reload-like context to diagnose reload confound; not allowed as YOLO-init mainline positive evidence.,"resume/reload-like; context only, not YOLO-init main evidence"
ladd4090-zw1,current_evidence_20260625_1115,combo_singleproj_raw_STOPPED,combo_singleproj_raw_STOPPED,43,43,0.50936,0.26894,0.26894,43,0.23064,0.00674,0.00552,-0.00909,-0.01256,pre100,no,,0.0,1.0,1.0,,,student branch single-projection ablation; checks whether split student projection is unnecessary or conflicts with reach/KD.,stopped diagnostic combo/frankenstein; do not use as main evidence
ladd4090-zw1,current_evidence_20260625_1115,combo_raw_wo_srec_STOPPED,combo_raw_wo_srec_STOPPED,34,34,0.46301,0.23755,0.23755,34,0.18693,0.00233,0.00383,-0.01381,-0.00770,pre100,no,,0.0,1.0,1.0,,,student reconstruction ablation; checks whether student_rec drags the student shared representation and hurts AP.,stopped diagnostic combo/frankenstein; do not use as main evidence
ladd4090-zw1,current_evidence_20260625_1115,frank_singleproj_adapter_wo_srec_capR2_STOPPED,frank_singleproj_adapter_wo_srec_capR2_STOPPED,18,18,0.33630,0.15398,0.15561,17,0.09341,0.00905,-0.00280,-0.00003,-0.00658,pre100,no,,0.0,0.6,1.0,,,student reconstruction ablation; checks whether student_rec drags the student shared representation and hurts AP.,stopped diagnostic frankenstein; do not use as main evidence
ladd4090-zw1,current_evidence_20260625_1115,frank_singleproj_adapter_lowsrec_capR2_STOPPED,frank_singleproj_adapter_lowsrec_capR2_STOPPED,17,17,0.33901,0.15561,0.15561,17,0.08984,0.00343,-0.00350,-0.00003,-0.00658,pre100,no,,0.0113333333333333,0.5666666666666667,1.0,,,student branch single-projection ablation; checks whether split student projection is unnecessary or conflicts with reach/KD.,stopped diagnostic frankenstein; do not use as main evidence
ladd4090-zw1,current_evidence_20260625_1115,frank_singleproj_raw_lowsrec_capR2_STOPPED,frank_singleproj_raw_lowsrec_capR2_STOPPED,18,18,0.31251,0.13974,0.15198,17,0.08813,-0.00519,-0.00808,-0.00909,-0.01256,pre100,no,,0.012,0.6,1.0,,,student branch single-projection ablation; checks whether split student projection is unnecessary or conflicts with reach/KD.,stopped diagnostic frankenstein; do not use as main evidence
ladd4090-zw1,current_evidence_20260625_1115,frank_singleproj_adapter_wo_srec_capR4_STOPPED,frank_singleproj_adapter_wo_srec_capR4_STOPPED,16,16,0.31433,0.13801,0.14010,15,0.08878,-0.00910,-0.00089,-0.00437,-0.00344,pre100,no,,0.0,0.5333333333333333,1.0,,,student reconstruction ablation; checks whether student_rec drags the student shared representation and hurts AP.,stopped diagnostic frankenstein; do not use as main evidence
ladd4090-zw1,current_evidence_20260625_1115,frank_singleproj_raw_wo_srec_capR4_STOPPED,frank_singleproj_raw_wo_srec_capR4_STOPPED,17,17,0.29660,0.13023,0.13717,15,0.08637,-0.02195,-0.00697,-0.01621,-0.00892,pre100,no,,0.0,0.5666666666666667,1.0,,,student reconstruction ablation; checks whether student_rec drags the student shared representation and hurts AP.,stopped diagnostic frankenstein; do not use as main evidence
ladd4090-zw1,ogsod_4090_restart_20260625,det-only,det-only,503,,0.77452,0.50665,0.50665,485,,,,,,baseline,control,,,,,,,same-machine same-pipeline YOLO-init detector-only control; all mainline candidates should compare against this control on the same server.,"4090 restart/recovered plot evidence; some runs later dropped/crashed, inspect raw curve before claiming."
ladd4090-zw1,ogsod_4090_restart_20260625,ProbeA,ProbeA,403,,0.02040,0.00886,0.48823,384,,-0.47174,-0.03918,,,DROP_FROM_BEST,early_screen_or_candidate,,,,,,,ProbeA structure check; tests whether old ProbeA-style mainline can beat det-only under YOLO-init.,"4090 restart/recovered plot evidence; some runs later dropped/crashed, inspect raw curve before claiming."
ladd4090-zw1,ogsod_4090_restart_20260625,dynamic,dynamic,345,,0.73924,0.47031,0.47031,327,,0.00920,0.00861,,,WATCH,early_screen_or_candidate,,,,,,,dynamic/plain anchor for the current LADD-like YOLO-init line; baseline method for mechanism ablations.,"4090 restart/recovered plot evidence; some runs later dropped/crashed, inspect raw curve before claiming."
ladd4090-zw1,ogsod_4090_restart_20260625,dynamic_kd0p5,dynamic_kd0p5,78,,0.08068,0.03215,0.31847,61,,-0.29745,-0.25811,,,DROP_FROM_BEST,early_screen_or_candidate,,,,,,,method-search evidence; inspect args/results for exact role.,"4090 restart/recovered plot evidence; some runs later dropped/crashed, inspect raw curve before claiming."
ladd4090-zw1,ogsod_4090_restart_20260625,dynamic_reach0p5,dynamic_reach0p5,79,,0.56357,0.31928,0.31928,62,,0.00969,0.00852,,,pre100,early_screen_or_candidate,,,,,,,method-search evidence; inspect args/results for exact role.,"4090 restart/recovered plot evidence; some runs later dropped/crashed, inspect raw curve before claiming."
ladd4090-zw1,ogsod_4090_restart_20260625,dynamic_srec0p05,dynamic_srec0p05,74,,0.07931,0.02954,0.31065,58,,-0.29790,-0.23749,,,DROP_FROM_BEST,early_screen_or_candidate,,,,,,,method-search evidence; inspect args/results for exact role.,"4090 restart/recovered plot evidence; some runs later dropped/crashed, inspect raw curve before claiming."
ladd4090-zw1,ogsod_4090_restart_20260625,dynamic_teacher_projectedraw,dynamic_teacher_projectedraw,86,,0.56476,0.32369,0.32369,65,,0.00935,0.00747,,,pre100,early_screen_or_candidate,,,,,,,reach/KD input mode or raw/projected-raw source ablation; tests whether adapter/projection choice explains gains.,"4090 restart/recovered plot evidence; some runs later dropped/crashed, inspect raw curve before claiming."
ladd4090-zw1,ogsod_4090_restart_20260625,oldcommit_ProbeA,oldcommit_ProbeA,215,,0.68108,0.42046,0.42046,215,,0.01033,0.01185,,,PROMISING_EARLY,no,,,,,,,"old implementation/old-condition ProbeA evidence; used to explain AutoDL/old-code early gain, not a clean current-code mainline result.","4090 restart/recovered plot evidence; some runs later dropped/crashed, inspect raw curve before claiming."
ladd3090-zw1,ladd_current_matrix_20260625_131506,detonly_control,detonly_control,640,,0.80464,0.53883,0.53924,639,,,,,,baseline,control,,,,,,,same-machine same-pipeline YOLO-init detector-only control; all mainline candidates should compare against this control on the same server.,fresh pull at 2026-06-25 13:15; baseline detonly_control
ladd3090-zw1,ladd_current_matrix_20260625_131506,dynamic_plain,dynamic_plain,412,,0.76446,0.49778,0.49778,412,,0.01642,0.01695,,,PROMISING_EARLY,early_screen_or_candidate,,,,,,,dynamic/plain anchor for the current LADD-like YOLO-init line; baseline method for mechanism ablations.,fresh pull at 2026-06-25 13:15; baseline detonly_control
ladd3090-zw1,ladd_current_matrix_20260625_131506,dynamic_wo_s_rec,dynamic_wo_s_rec,541,,0.79809,0.52954,0.52954,541,,0.01198,0.01245,,,PROMISING_EARLY,early_screen_or_candidate,,,,,,,student reconstruction ablation; checks whether student_rec drags the student shared representation and hurts AP.,fresh pull at 2026-06-25 13:15; baseline detonly_control
ladd3090-zw1,ladd_current_matrix_20260625_131506,dynamic_singleproj,dynamic_singleproj,509,,0.79668,0.52469,0.52469,509,,0.01670,0.01580,,,PROMISING_EARLY,early_screen_or_candidate,,,,,,,student branch single-projection ablation; checks whether split student projection is unnecessary or conflicts with reach/KD.,fresh pull at 2026-06-25 13:15; baseline detonly_control
ladd3090-zw1,ladd_current_matrix_20260625_131506,dynamic_rawinput,dynamic_rawinput,390,,0.75379,0.49071,0.49071,390,,0.01494,0.01448,,,PROMISING_EARLY,early_screen_or_candidate,,,,,,,reach/KD input mode or raw/projected-raw source ablation; tests whether adapter/projection choice explains gains.,fresh pull at 2026-06-25 13:15; baseline detonly_control
ladd3090-zw1,ladd_current_matrix_20260625_131506,dynamic_capR2,dynamic_capR2,176,,0.64060,0.39516,0.39516,176,,0.00617,0.00669,,,WATCH,early_screen_or_candidate,,,,,,,capR=2 diagnostic; tests whether reach negative cap is actually active and improves stability.,fresh pull at 2026-06-25 13:15; baseline detonly_control
ladd3090-zw1,ladd_current_matrix_20260625_131506,dynamic_capR4,dynamic_capR4,180,,0.64837,0.39668,0.39668,180,,0.00612,0.00527,,,WATCH,early_screen_or_candidate,,,,,,,capR=4/no-cap-ish diagnostic; compares against capR=2 to isolate cap effect.,fresh pull at 2026-06-25 13:15; baseline detonly_control
ladd3090-zw1,ladd_current_matrix_20260625_131506,plain_detach_reach_probe,plain_detach_reach_probe,51,,0.53123,0.29106,0.29106,51,,-0.00165,-0.00050,,,pre100,early_screen_or_candidate,,,,,,,reach-gradient detach diagnostic; tests whether reach loss should stop before student backbone/probe.,fresh pull at 2026-06-25 13:15; baseline detonly_control
ladd3090-zw1,ladd_current_matrix_20260625_131506,studentz_split_detach,studentz_split_detach,3,,0.05632,0.01803,0.03914,1,,0.01408,-0.00251,,,pre100,early_screen_or_candidate,,,,,,,reach-gradient detach diagnostic; tests whether reach loss should stop before student backbone/probe.,fresh pull at 2026-06-25 13:15; baseline detonly_control
ladd3090-zw1,ladd_current_matrix_20260625_131506,studentz_singleproj_detach,studentz_singleproj_detach,3,,0.05739,0.01609,0.04520,1,,0.01214,-0.00148,,,pre100,early_screen_or_candidate,,,,,,,student branch single-projection ablation; checks whether split student projection is unnecessary or conflicts with reach/KD.,fresh pull at 2026-06-25 13:15; baseline detonly_control
ladd4090-zw1,ladd_current_matrix_20260625_131506,plain_anchor,plain_anchor,70,,0.57537,0.32948,0.32948,70,,,,,,pre100,early_screen_or_candidate,,,,,,,dynamic/plain anchor for the current LADD-like YOLO-init line; baseline method for mechanism ablations.,fresh pull at 2026-06-25 13:15; baseline plain_anchor for mechanism ablations
ladd4090-zw1,ladd_current_matrix_20260625_131506,no_reach,no_reach,25,,0.41963,0.20025,0.20025,25,,,,0.01194,-0.00341,pre100,early_screen_or_candidate,,,,,,,reach loss ablation; tests whether positive trend is caused by reachability or just auxiliary regularization.,fresh pull at 2026-06-25 13:15; baseline plain_anchor for mechanism ablations
ladd4090-zw1,ladd_current_matrix_20260625_131506,freeze_probeB,freeze_probeB,22,,0.37278,0.17374,0.17923,21,,,,-0.00374,-0.00241,pre100,early_screen_or_candidate,,,,,,,B-stage frozen reach probe diagnostic; tests whether continued probe adaptation is masking/causing gain.,fresh pull at 2026-06-25 13:15; baseline plain_anchor for mechanism ablations
ladd4090-zw1,ladd_current_matrix_20260625_131506,detach_reach_backbone,detach_reach_backbone,24,,0.40200,0.19084,0.19084,24,,,,0.00719,-0.00307,pre100,early_screen_or_candidate,,,,,,,reach-gradient detach diagnostic; tests whether reach loss should stop before student backbone/probe.,fresh pull at 2026-06-25 13:15; baseline plain_anchor for mechanism ablations
ladd4090-zw1,ladd_current_matrix_20260625_131506,wo_srec,wo_srec,10,,0.27869,0.11942,0.11942,10,,,,0.00704,-0.00269,pre100,early_screen_or_candidate,,,,,,,student reconstruction ablation; checks whether student_rec drags the student shared representation and hurts AP.,fresh pull at 2026-06-25 13:15; baseline plain_anchor for mechanism ablations
ladd4090-zw1,ladd_current_matrix_20260625_131506,detach_reach_wo_srec,detach_reach_wo_srec,10,,0.25799,0.10722,0.10722,10,,,,-0.00516,-0.00692,pre100,early_screen_or_candidate,,,,,,,student reconstruction ablation; checks whether student_rec drags the student shared representation and hurts AP.,fresh pull at 2026-06-25 13:15; baseline plain_anchor for mechanism ablations
ladd4090-zw1,ladd_current_matrix_20260625_131506,studentz_split,studentz_split,4,,0.13327,0.04620,0.04620,4,,,,0.00196,-0.00007,pre100,early_screen_or_candidate,,,,,,,student-z target/path diagnostic; tests whether KD/reach should attach to z_s branch directly or via projection.,fresh pull at 2026-06-25 13:15; baseline plain_anchor for mechanism ablations
ladd4090-zw1,ladd_current_matrix_20260625_131506,studentz_singleproj,studentz_singleproj,2,,0.10768,0.03786,0.04741,1,,,,0.00793,-0.00088,pre100,early_screen_or_candidate,,,,,,,student branch single-projection ablation; checks whether split student projection is unnecessary or conflicts with reach/KD.,fresh pull at 2026-06-25 13:15; baseline plain_anchor for mechanism ablations
ladd4090-zw1,live_status_20260625_1414,anchor_4090_yoloinit_yolo11n_e800_b64_img256_s0_20260625_103949_gpu0,ogsod_yoloinit_dynamic_plain_anchor_4090_yoloinit_yolo11n_e800_b64_img256_s0_20260625_103949_gpu0,92,,,0.34782,0.34782,,,,,,,pre100,early_screen_or_candidate,,,,,,,method-search evidence; inspect args/results for exact role.,current active YOLO-init plain anchor; ETA 2026-06-26 17:44
ladd4090-zw1,live_status_20260625_1414,detach_reach_backbone_4090_yoloinit_yolo11n_e800_b64_img256_s0_20260625_121741_gpu0,ogsod_yoloinit_dynamic_plain_detach_reach_backbone_4090_yoloinit_yolo11n_e800_b64_img256_s0_20260625_121741_gpu0,47,,,0.28945,0.28945,,,,,,,pre100,early_screen_or_candidate,,,,,,,reach-gradient detach diagnostic; tests whether reach loss should stop before student backbone/probe.,current active reach-gradient ablation; ETA 2026-06-26 21:21
ladd4090-zw1,live_status_20260625_1414,detach_reach_wo_srec_4090_yoloinit_yolo11n_e800_b64_img256_s0_20260625_124714_gpu0,ogsod_yoloinit_dynamic_plain_detach_reach_wo_srec_4090_yoloinit_yolo11n_e800_b64_img256_s0_20260625_124714_gpu0,33,,,0.22852,0.22899,,,,,,,pre100,early_screen_or_candidate,,,,,,,student reconstruction ablation; checks whether student_rec drags the student shared representation and hurts AP.,current active reach-gradient plus no student rec ablation; ETA 2026-06-26 23:55
ladd4090-zw1,live_status_20260625_1414,no_reach_4090_yoloinit_yolo11n_e800_b64_img256_s0_20260625_121503_gpu0,ogsod_yoloinit_dynamic_plain_no_reach_4090_yoloinit_yolo11n_e800_b64_img256_s0_20260625_121503_gpu0,47,,,0.28543,0.28543,,,,,,,pre100,early_screen_or_candidate,,,,,,,reach loss ablation; tests whether positive trend is caused by reachability or just auxiliary regularization.,current active no reach ablation; ETA 2026-06-26 22:03
ladd4090-zw1,live_status_20260625_1414,studentz_singleproj_4090_yoloinit_yolo11n_e800_b64_img256_s0_20260625_130643_gpu0,ogsod_yoloinit_dynamic_studentz_singleproj_4090_yoloinit_yolo11n_e800_b64_img256_s0_20260625_130643_gpu0,26,,,0.19072,0.19920,,,,,,,pre100,early_screen_or_candidate,,,,,,,student branch single-projection ablation; checks whether split student projection is unnecessary or conflicts with reach/KD.,current active student-z single projection ablation; ETA 2026-06-26 23:43
ladd4090-zw1,live_status_20260625_1414,4090zw1cache_detonly_control_caprgroup_yolo11n_e800_b64_img256_s0_20260625_045721_gpu1,ogsod_yoloinit_4090zw1cache_detonly_control_caprgroup_yolo11n_e800_b64_img256_s0_20260625_045721_gpu1,326,,,0.46078,0.46078,,,,,,,running_or_partial,control,,,,,,,same-machine same-pipeline YOLO-init detector-only control; all mainline candidates should compare against this control on the same server.,current active 4090 same-pipeline det-only control; ETA 2026-06-26 03:43
ladd4090-zw1,live_status_20260625_1414,freeze_probeB_4090_yoloinit_yolo11n_e800_b64_img256_s0_20260625_121503_gpu1,ogsod_yoloinit_dynamic_plain_freeze_probeB_4090_yoloinit_yolo11n_e800_b64_img256_s0_20260625_121503_gpu1,44,,,0.27657,0.27657,,,,,,,pre100,early_screen_or_candidate,,,,,,,B-stage frozen reach probe diagnostic; tests whether continued probe adaptation is masking/causing gain.,current active frozen reach probe in B-stage ablation; ETA 2026-06-27 00:21
ladd4090-zw1,live_status_20260625_1414,wo_srec_4090_yoloinit_yolo11n_e800_b64_img256_s0_20260625_124714_gpu1,ogsod_yoloinit_dynamic_plain_wo_srec_4090_yoloinit_yolo11n_e800_b64_img256_s0_20260625_124714_gpu1,32,,,0.22995,0.22995,,,,,,,pre100,early_screen_or_candidate,,,,,,,student reconstruction ablation; checks whether student_rec drags the student shared representation and hurts AP.,current active no student reconstruction ablation; ETA 2026-06-27 01:01
ladd4090-zw1,live_status_20260625_1414,resume_fixed_bestep326_e800_b64_img256_s0_20260625_021121_gpu1,ogsod_yoloinit_dynamic_resume_fixed_bestep326_e800_b64_img256_s0_20260625_021121_gpu1,341,,,0.55466,0.55474,,,,,,,running_or_partial,no,,,,,,,resume/reload-like context to diagnose reload confound; not allowed as YOLO-init mainline positive evidence.,resume/reload-like context only; not YOLO-init mainline evidence; ETA 2026-06-26 06:27
ladd4090-zw1,live_status_20260625_1414,studentz_split_4090_yoloinit_yolo11n_e800_b64_img256_s0_20260625_130136_gpu1,ogsod_yoloinit_dynamic_studentz_split_4090_yoloinit_yolo11n_e800_b64_img256_s0_20260625_130136_gpu1,26,,,0.19818,0.19818,,,,,,,pre100,early_screen_or_candidate,,,,,,,student-z target/path diagnostic; tests whether KD/reach should attach to z_s branch directly or via projection.,current active student-z split ablation; ETA 2026-06-27 02:16
ladd3090-zw1,live_status_20260625_1414,detonly_control_yoloinit_yolo11n_e800_b64_img256_s0_20260624_161654_gpu0,ogsod_yoloinit_detonly_control_yoloinit_yolo11n_e800_b64_img256_s0_20260624_161654_gpu0,664,,,0.54340,0.54340,,,,,,,running_or_partial,control,,,,,,,same-machine same-pipeline YOLO-init detector-only control; all mainline candidates should compare against this control on the same server.,current active 3090 same-pipeline det-only control; ETA 2026-06-25 18:44
ladd3090-zw1,live_status_20260625_1414,capR2_yoloinit_yolo11n_e800_b64_img256_s0_20260625_034019_gpu0,ogsod_yoloinit_dynamic_capR2_yoloinit_yolo11n_e800_b64_img256_s0_20260625_034019_gpu0,193,,,0.40494,0.40494,,,,,,,running_or_partial,early_screen_or_candidate,,,,,,,capR=2 diagnostic; tests whether reach negative cap is actually active and improves stability.,current active capR=2 diagnostic; ETA 2026-06-26 23:27
ladd3090-zw1,live_status_20260625_1414,capR4_yoloinit_yolo11n_e800_b64_img256_s0_20260625_034447_gpu0,ogsod_yoloinit_dynamic_capR4_yoloinit_yolo11n_e800_b64_img256_s0_20260625_034447_gpu0,197,,,0.40622,0.40622,,,,,,,running_or_partial,early_screen_or_candidate,,,,,,,capR=4/no-cap-ish diagnostic; compares against capR=2 to isolate cap effect.,current active capR=4 no-cap-ish diagnostic; ETA 2026-06-26 22:20
ladd3090-zw1,live_status_20260625_1414,singleproj_yoloinit_yolo11n_e800_b64_img256_s0_20260624_1605_gpu0,ogsod_yoloinit_dynamic_singleproj_yoloinit_yolo11n_e800_b64_img256_s0_20260624_1605_gpu0,529,,,0.52863,0.52863,,,,,,,running_or_partial,early_screen_or_candidate,,,,,,,student branch single-projection ablation; checks whether split student projection is unnecessary or conflicts with reach/KD.,current active single projection candidate; ETA 2026-06-26 01:35
ladd3090-zw1,live_status_20260625_1414,studentz_split_detach_3090_yoloinit_yolo11n_e800_b64_img256_s0_20260625_130156_gpu0,ogsod_yoloinit_dynamic_studentz_split_detach_3090_yoloinit_yolo11n_e800_b64_img256_s0_20260625_130156_gpu0,20,,,0.17495,0.17495,,,,,,,pre100,early_screen_or_candidate,,,,,,,reach-gradient detach diagnostic; tests whether reach loss should stop before student backbone/probe.,current active student-z split detach ablation; ETA 2026-06-27 13:13
ladd3090-zw1,live_status_20260625_1414,detach_reach_probe_yoloinit_yolo11n_e800_b64_img256_s0_20260625_103950_gpu1,ogsod_yoloinit_dynamic_plain_detach_reach_probe_yoloinit_yolo11n_e800_b64_img256_s0_20260625_103950_gpu1,68,,,0.32244,0.32244,,,,,,,pre100,early_screen_or_candidate,,,,,,,reach-gradient detach diagnostic; tests whether reach loss should stop before student backbone/probe.,current active detach reach probe diagnostic; ETA 2026-06-27 04:42
ladd3090-zw1,live_status_20260625_1414,yoloinit_yolo11n_e800_b64_img256_s0_20260624_201305_gpu1,ogsod_yoloinit_dynamic_plain_yoloinit_yolo11n_e800_b64_img256_s0_20260624_201305_gpu1,433,,,0.50395,0.50395,,,,,,,running_or_partial,early_screen_or_candidate,,,,,,,method-search evidence; inspect args/results for exact role.,current active dynamic plain candidate; ETA 2026-06-26 05:30
ladd3090-zw1,live_status_20260625_1414,reach_rawinput_yoloinit_yolo11n_e800_b64_img256_s0_20260624_210845_gpu1,ogsod_yoloinit_dynamic_reach_rawinput_yoloinit_yolo11n_e800_b64_img256_s0_20260624_210845_gpu1,412,,,0.49504,0.49525,,,,,,,running_or_partial,early_screen_or_candidate,,,,,,,reach/KD input mode or raw/projected-raw source ablation; tests whether adapter/projection choice explains gains.,current active reach raw input diagnostic; ETA 2026-06-26 06:19
ladd3090-zw1,live_status_20260625_1414,studentz_singleproj_detach_3090_yoloinit_yolo11n_e800_b64_img256_s0_20260625_130156_gpu1,ogsod_yoloinit_dynamic_studentz_singleproj_detach_3090_yoloinit_yolo11n_e800_b64_img256_s0_20260625_130156_gpu1,20,,,0.16276,0.16276,,,,,,,pre100,early_screen_or_candidate,,,,,,,student branch single-projection ablation; checks whether split student projection is unnecessary or conflicts with reach/KD.,current active student-z singleproj detach ablation; ETA 2026-06-27 13:13
ladd3090-zw1,live_status_20260625_1414,wo_s_rec_yoloinit_yolo11n_e800_b64_img256_s0_20260624_1608_gpu1,ogsod_yoloinit_dynamic_wo_s_rec_yoloinit_yolo11n_e800_b64_img256_s0_20260624_1608_gpu1,562,,,0.53528,0.53528,,,,,,,running_or_partial,early_screen_or_candidate,,,,,,,student reconstruction ablation; checks whether student_rec drags the student shared representation and hurts AP.,current active no student reconstruction candidate; ETA 2026-06-25 23:35
